date,price_usd,usd_to_eur,market_sentiment,year,month,day_of_week,is_weekend,price_change,price_change_pct,price_7d_avg,price_30d_avg
2010-01-01,1102.533570765056,0.8705419384125607,positive,2010,1,4,0,,,,
2010-01-02,1101.8922492592003,0.8514782073903653,neutral,2010,1,5,1,-0.6413215058557853,-0.05816797990203515,,
2010-01-03,1105.1806919497037,0.8358373114065939,negative,2010,1,6,1,3.288442690503416,0.2984359580271434,,
2010-01-04,1112.8458412317439,0.8435722361710005,positive,2010,1,0,0,7.665149282040147,0.6935652547926496,,
2010-01-05,1111.7250743581271,0.84541123154975,neutral,2010,1,1,0,-1.1207668736167307,-0.10071178164050565,,
2010-01-06,1110.6043895733812,0.8398241522278662,negative,2010,1,2,0,-1.1206847847458903,-0.10080592860540749,,
2010-01-07,1118.5504536509181,0.8586018263839515,negative,2010,1,3,0,7.946064077536903,0.7154720575694107,1109.0474672554471,
2010-01-08,1122.4376272966826,0.8581026004437533,neutral,2010,1,4,0,3.8871736457645056,0.34751884754744555,1111.8909039028224,
2010-01-09,1120.140255367008,0.8384454820618233,positive,2010,1,5,1,-2.297371929674682,-0.20467702381001818,1114.4977619182234,
2010-01-10,1122.9030555849379,0.857250810444475,negative,2010,1,6,1,2.7628002179299074,0.24664770368640898,1117.0295281518286,
2010-01-11,1120.6359671208754,0.8652681266357727,positive,2010,1,0,0,-2.2670884640624536,-0.20189529744235601,1118.1424032788473,
2010-01-12,1118.3573183530243,0.8690255820522956,neutral,2010,1,1,0,-2.2786487678511094,-0.2033353233972468,1119.0898667066897,
2010-01-13,1119.6171297108544,0.8786521202308596,positive,2010,1,2,0,1.2598113578301309,0.11264837607405376,1120.377401012043,
2010-01-14,1110.1007284875654,0.840980073505568,negative,2010,1,3,0,-9.516401223288995,-0.8499692413375892,1119.1702974172783,
2010-01-15,1101.5261393250003,0.878242204263952,neutral,2010,1,4,0,-8.57458916256519,-0.7724154162341179,1116.1829419927524,
2010-01-16,1098.7647016787953,0.846457936114912,negative,2010,1,5,1,-2.7614376462049677,-0.250691976124795,1113.1292914658648,
2010-01-17,1093.7505460771233,0.8440753454461948,negative,2010,1,6,1,-5.014155601671973,-0.4563448019408445,1108.9646472504626,
2010-01-18,1095.3717827400997,0.8532707237487784,neutral,2010,1,0,0,1.6212366629763437,0.14822727803804892,1105.355478053209,
2010-01-19,1090.8816623624937,0.8441793866590699,neutral,2010,1,1,0,-4.49012037760599,-0.40991747718512883,1101.430384340276,
2010-01-20,1083.870143855817,0.8539904414064652,positive,2010,1,2,0,-7.011518506676566,-0.6427386900511145,1096.3236720752707,
2010-01-21,1091.248387700425,0.836799228122627,neutral,2010,1,3,0,7.378243844607823,0.6807313483476962,1093.6304805342504,
2010-01-22,1090.1695061979922,0.8476124739793657,positive,2010,1,4,0,-1.0788815024327505,-0.09886672132513041,1092.0081043732494,
2010-01-23,1090.5571472214317,0.8628558223436168,neutral,2010,1,5,1,0.387641023439528,0.035557867032198764,1090.835596593626,
2010-01-24,1083.4834062903644,0.8494293870856884,negative,2010,1,6,1,-7.073740931067277,-0.6486355115905673,1089.3688623383748,
2010-01-25,1080.8114926677385,0.8514159578673988,positive,2010,1,0,0,-2.6719136226258797,-0.24660401877071303,1087.2888208994661,
2010-01-26,1081.416105616288,0.8547525860471731,neutral,2010,1,1,0,0.6046129485494021,0.055940647619978634,1085.936598507151,
2010-01-27,1075.7111377291765,0.8617066162931766,positive,2010,1,2,0,-5.704967887111479,-0.5275460442546565,1084.7710262033452,
2010-01-28,1077.6396278209047,0.8334477528781057,positive,2010,1,3,0,1.9284900917282357,0.1792758319672405,1082.826917649128,
