Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Cyprus,35.1264,33.4299,20/07/2020,1038,19,847,172,Europe
,Czechia,49.8175,15.473,20/07/2020,14098,359,8836,4903,Europe
Faroe Islands,Denmark,61.8926,-6.9118,20/07/2020,191,0,188,3,Europe
Greenland,Greenland,71.7069,-42.6043,20/07/2020,13,0,13,0,Europe
,Denmark,56.2639,9.5018,20/07/2020,13262,611,12251,400,Europe
,Djibouti,11.8251,42.5903,20/07/2020,5020,56,4868,96,Eastern Mediterranean
,Dominican Republic,18.7357,-70.1627,20/07/2020,53956,993,25561,27402,Americas
,Ecuador,-1.8312,-78.1834,20/07/2020,74620,5318,31955,37347,Americas
,Egypt,26.820553,30.802498,20/07/2020,88402,4352,28924,55126,Eastern Mediterranean
,El Salvador,13.7942,-88.8965,20/07/2020,12207,344,6831,5032,Americas
,Equatorial Guinea,1.6508,10.2679,20/07/2020,3071,51,842,2178,Africa
,Eritrea,15.1794,39.7823,20/07/2020,251,0,155,96,Africa
,Estonia,58.5953,25.0136,20/07/2020,2021,69,1912,40,Europe
,Eswatini,-26.5225,31.4659,20/07/2020,1826,23,850,953,Africa
,Ethiopia,9.145,40.4897,20/07/2020,10207,170,2430,7607,Africa
,Fiji,-17.7134,178.065,20/07/2020,27,0,18,9,Western Pacific
,Finland,61.92411,25.748151,20/07/2020,7340,328,6880,132,Europe
French Guiana,France,3.9339,-53.1258,20/07/2020,6745,38,4714,1993,Europe
French Polynesia,France,-17.6797,149.4068,20/07/2020,62,0,60,2,Europe
Guadeloupe,France,16.265,-61.551,20/07/2020,195,14,172,9,Europe
Mayotte,France,-12.8275,45.166244,20/07/2020,2808,38,2591,179,Europe
New Caledonia,France,-20.904305,165.618042,20/07/2020,22,0,21,1,Europe
Reunion,France,-21.1151,55.5364,20/07/2020,631,3,472,156,Europe
Saint Barthelemy,France,17.9,-62.8333,20/07/2020,6,0,6,0,Europe
St Martin,France,18.0708,-63.0501,20/07/2020,46,3,39,4,Europe
Martinique,France,14.6415,-61.0242,20/07/2020,262,15,98,149,Europe
,France,46.2276,2.2137,20/07/2020,203242,30069,71494,101679,Europe
,Gabon,-0.8037,11.6094,20/07/2020,6433,46,4034,2353,Africa
,Gambia,13.4432,-15.3101,20/07/2020,112,4,57,51,Africa
,Georgia,42.3154,43.3569,20/07/2020,1039,16,900,123,Europe
,Germany,51.165691,10.451526,20/07/2020,203325,9094,188070,6161,Europe
,Ghana,7.9465,-1.0232,20/07/2020,28430,153,24901,3376,Africa
,Greece,39.0742,21.8243,20/07/2020,4012,195,1374,2443,Europe
,Guatemala,15.7835,-90.2308,20/07/2020,39039,1502,25539,11998,Americas
,Guinea,9.9456,-9.6966,20/07/2020,6590,40,5591,959,Africa
,Guyana,4.860416,-58.93018,20/07/2020,337,19,163,155,Americas
,Haiti,18.9712,-72.2852,20/07/2020,7053,146,3877,3030,Americas
,Holy See,41.9029,12.4534,20/07/2020,12,0,12,0,Europe
,Honduras,15.2,-86.2419,20/07/2020,34611,935,3905,29771,Americas
,Hungary,47.1625,19.5033,20/07/2020,4339,596,3232,511,Europe
,Iceland,64.9631,-19.0208,20/07/2020,1839,10,1820,9,Europe
,India,20.593684,78.96288,20/07/2020,1155338,28082,724578,402678,South-East Asia
,Indonesia,-0.7893,113.9213,20/07/2020,88214,4239,46977,36998,South-East Asia
,Iran,32.427908,53.688046,20/07/2020,276202,14405,240087,21710,Eastern Mediterranean
,Iraq,33.223191,43.679291,20/07/2020,94693,3869,62836,27988,Eastern Mediterranean
,Ireland,53.1424,-7.6921,20/07/2020,25766,1753,23364,649,Europe
,Israel,31.046051,34.851612,20/07/2020,52003,415,22154,29434,Europe
,Italy,41.87194,12.56738,20/07/2020,244624,35058,197162,12404,Europe
,Jamaica,18.1096,-77.2975,20/07/2020,809,10,706,93,Americas
,Japan,36.204824,138.252924,20/07/2020,25706,988,19603,5115,Western Pacific
,Jordan,31.24,36.51,20/07/2020,1223,11,1028,184,Eastern Mediterranean
,Kazakhstan,48.0196,66.9237,20/07/2020,73468,585,43401,29482,Europe
,Kenya,-0.0236,37.9062,20/07/2020,13771,238,5616,7917,Africa
,South Korea,35.907757,127.766922,20/07/2020,13816,296,12643,877,Western Pacific
,Kuwait,29.31166,47.481766,20/07/2020,59763,408,50339,9016,Eastern Mediterranean
,Kyrgyzstan,41.20438,74.766098,20/07/2020,27143,1037,13109,12997,Europe
,Latvia,56.8796,24.6032,20/07/2020,1192,31,1022,139,Europe
,Lebanon,33.8547,35.8623,20/07/2020,2905,41,1562,1302,Eastern Mediterranean
,Liberia,6.428055,-9.429499,20/07/2020,1107,70,547,490,Africa
,Liechtenstein,47.14,9.55,20/07/2020,86,1,83,2,Europe
,Lithuania,55.1694,23.8813,20/07/2020,1947,80,1601,266,Europe
,Luxembourg,49.8153,6.1296,20/07/2020,5639,111,4464,1064,Europe
,Madagascar,-18.766947,46.869107,20/07/2020,7153,62,3788,3303,Africa
,Malaysia,4.210484,101.975766,20/07/2020,8800,123,8555,122,Western Pacific
,Maldives,3.2028,73.2207,20/07/2020,2999,15,2369,615,South-East Asia
,Malta,35.9375,14.3754,20/07/2020,677,9,664,4,Europe
,Mauritania,21.0079,-10.9408,20/07/2020,5923,155,3632,2136,Africa
,Mauritius,-20.348404,57.552152,20/07/2020,343,10,332,1,Africa
,Mexico,23.6345,-102.5528,20/07/2020,349396,39485,263091,46820,Americas
,Moldova,47.4116,28.3699,20/07/2020,21115,695,14467,5953,Europe
,Monaco,43.7333,7.4167,20/07/2020,109,4,100,5,Europe
,Mongolia,46.8625,103.8467,20/07/2020,287,0,213,74,Western Pacific
,Montenegro,42.708678,19.37439,20/07/2020,2188,32,385,1771,Europe
,Morocco,31.7917,-7.0926,20/07/2020,17562,276,15132,2154,Eastern Mediterranean
,Namibia,-22.9576,18.4904,20/07/2020,1344,4,42,1298,Africa
,Nepal,28.1667,84.25,20/07/2020,17844,40,11868,5936,South-East Asia
Aruba,Netherlands,12.5211,-69.9683,20/07/2020,115,3,100,12,Europe
Curacao,Netherlands,12.1696,-68.99,20/07/2020,28,1,24,3,Europe
Sint Maarten,Netherlands,18.0425,-63.0548,20/07/2020,79,15,63,1,Europe
,Netherlands,52.1326,5.2913,20/07/2020,51910,6136,0,45774,Europe
,New Zealand,-40.9006,174.886,20/07/2020,1555,22,1506,27,Western Pacific
,Nicaragua,12.865416,-85.207229,20/07/2020,3147,99,2282,766,Americas
,Niger,17.607789,8.081666,20/07/2020,1105,69,1014,22,Africa
,Nigeria,9.082,8.6753,20/07/2020,37225,801,15333,21091,Africa
,North Macedonia,41.6086,21.7453,20/07/2020,9249,432,4871,3946,Europe
,Norway,60.472,8.4689,20/07/2020,9034,255,8138,641,Europe
,Oman,21.512583,55.923255,20/07/2020,68400,326,45150,22924,Eastern Mediterranean
,Pakistan,30.3753,69.3451,20/07/2020,266096,5639,208030,52427,Eastern Mediterranean
,Panama,8.538,-80.7821,20/07/2020,54426,1127,29164,24135,Americas
,Papua New Guinea,-6.314993,143.95555,20/07/2020,19,1,8,10,Western Pacific
,Paraguay,-23.4425,-58.4438,20/07/2020,3748,33,2171,1544,Americas
,Peru,-9.19,-75.0152,20/07/2020,357681,13384,245081,99216,Americas
,Philippines,12.879721,121.774017,20/07/2020,68898,1835,23072,43991,Western Pacific
,Poland,51.9194,19.1451,20/07/2020,40383,1627,30539,8217,Europe
,Portugal,39.3999,-8.2245,20/07/2020,48771,1691,33547,13533,Europe
,Qatar,25.3548,51.1839,20/07/2020,107037,159,103782,3096,Eastern Mediterranean
,Romania,45.9432,24.9668,20/07/2020,38139,2038,22747,13354,Europe
,Russia,61.52401,105.318756,20/07/2020,776212,12408,552644,211160,Europe
,Rwanda,-1.9403,29.8739,20/07/2020,1629,5,838,786,Africa
,Saint Lucia,13.9094,-60.9789,20/07/2020,23,0,19,4,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,20/07/2020,50,0,29,21,Americas
,San Marino,43.9424,12.4578,20/07/2020,699,42,656,1,Europe
,Saudi Arabia,23.885942,45.079162,20/07/2020,253349,2523,203259,47567,Eastern Mediterranean
,Senegal,14.4974,-14.4524,20/07/2020,8948,170,6002,2776,Africa
,Serbia,44.0165,21.0059,20/07/2020,21253,482,0,20771,Europe
,Seychelles,-4.6796,55.492,20/07/2020,108,0,27,81,Africa
,Singapore,1.2833,103.8333,20/07/2020,48035,27,44371,3637,Western Pacific
,Slovakia,48.669,19.699,20/07/2020,1980,28,1538,414,Europe
,Slovenia,46.1512,14.9955,20/07/2020,1953,113,1603,237,Europe
,Somalia,5.152149,46.199616,20/07/2020,3130,93,1462,1575,Eastern Mediterranean
,South Africa,-30.5595,22.9375,20/07/2020,373628,5173,194865,173590,Africa
,Spain,40.463667,-3.74922,20/07/2020,264836,28422,150376,86038,Europe
,Sri Lanka,7.873054,80.771797,20/07/2020,2730,11,2041,678,South-East Asia
,Sudan,12.8628,30.2176,20/07/2020,10992,693,5707,4592,Eastern Mediterranean
,Suriname,3.9193,-56.0278,20/07/2020,1079,21,656,402,Americas
,Sweden,60.128161,18.643501,20/07/2020,78048,5639,0,72409,Europe
,Switzerland,46.8182,8.2275,20/07/2020,33634,1971,30300,1363,Europe
,Taiwan*,23.7,121,20/07/2020,451,7,440,4,Western Pacific
,Tanzania,-6.369028,34.888822,20/07/2020,509,21,183,305,Africa
,Thailand,15.870032,100.992541,20/07/2020,3250,58,3096,96,South-East Asia
,Togo,8.6195,0.8248,20/07/2020,783,15,554,214,Africa
,Trinidad and Tobago,10.6918,-61.2225,20/07/2020,137,8,124,5,Americas
,Tunisia,33.886917,9.537499,20/07/2020,1381,50,1099,232,Eastern Mediterranean
,Turkey,38.9637,35.2433,20/07/2020,220572,5508,203002,12062,Europe
,Uganda,1.373333,32.290275,20/07/2020,1069,0,1071,-2,Africa
,Ukraine,48.3794,31.1656,20/07/2020,60767,1517,32397,26853,Europe
,United Arab Emirates,23.424076,53.847818,20/07/2020,57193,340,49621,7232,Eastern Mediterranean
Bermuda,United Kingdom,32.3078,-64.7505,20/07/2020,153,9,137,7,Europe
Cayman Islands,United Kingdom,19.3133,-81.2546,20/07/2020,203,1,200,2,Europe
Channel Islands,United Kingdom,49.3723,-2.3644,20/07/2020,583,47,529,7,Europe
Gibraltar,United Kingdom,36.1408,-5.3536,20/07/2020,180,0,180,0,Europe
Isle of Man,United Kingdom,54.2361,-4.5481,20/07/2020,336,24,312,0,Europe
Montserrat,United Kingdom,16.742498,-62.187366,20/07/2020,12,1,10,1,Europe
,United Kingdom,55.3781,-3.436,20/07/2020,295372,45312,0,250060,Europe
,Uruguay,-32.5228,-55.7658,20/07/2020,1064,33,927,104,Americas
,US,40,-100,20/07/2020,3834677,141025,1160087,2533565,Americas
,Uzbekistan,41.377491,64.585262,20/07/2020,17149,90,9387,7672,Europe
,Venezuela,6.4238,-66.5897,20/07/2020,12334,116,6844,5374,Americas
,Vietnam,14.058324,108.277199,20/07/2020,384,0,360,24,Western Pacific
,Zambia,-13.133897,27.849332,20/07/2020,3326,128,1620,1578,Africa
,Zimbabwe,-19.015438,29.154857,20/07/2020,1713,26,472,1215,Africa
,Dominica,15.415,-61.371,20/07/2020,18,0,18,0,Americas
,Grenada,12.1165,-61.679,20/07/2020,23,0,23,0,Americas
,Mozambique,-18.665695,35.529562,20/07/2020,1507,11,0,1496,Africa
,Syria,34.802075,38.996815,20/07/2020,522,29,0,493,Eastern Mediterranean
,Timor-Leste,-8.874217,125.727539,20/07/2020,24,0,0,24,South-East Asia
,Belize,17.1899,-88.4976,20/07/2020,40,2,22,16,Americas
,Laos,19.85627,102.495496,20/07/2020,19,0,19,0,Western Pacific
,Libya,26.3351,17.228331,20/07/2020,1980,49,441,1490,Eastern Mediterranean
,West Bank and Gaza,31.9522,35.2332,20/07/2020,8916,63,1921,6932,Eastern Mediterranean
,Guinea-Bissau,11.8037,-15.1804,20/07/2020,1949,26,803,1120,Africa
,Mali,17.570692,-3.996166,20/07/2020,2475,121,1851,503,Africa
,Saint Kitts and Nevis,17.357822,-62.782998,20/07/2020,17,0,15,2,Americas
Northwest Territories,Canada,64.8255,-124.8457,20/07/2020,5,0,0,5,Americas
Yukon,Canada,64.2823,-135,20/07/2020,13,0,0,13,Americas
,Kosovo,42.602636,20.902977,20/07/2020,5877,139,3069,2669,Europe
,Burma,21.9162,95.956,20/07/2020,341,6,278,57,South-East Asia
Anguilla,United Kingdom,18.2206,-63.0686,20/07/2020,3,0,3,0,Europe
British Virgin Islands,United Kingdom,18.4207,-64.64,20/07/2020,8,1,7,0,Europe
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,20/07/2020,81,2,22,57,Europe
,Botswana,-22.3285,24.6849,20/07/2020,522,1,48,473,Africa
,Burundi,-3.3731,29.9189,20/07/2020,322,1,207,114,Africa
,Sierra Leone,8.460555,-11.779889,20/07/2020,1711,66,1261,384,Africa
,Malawi,-13.2543,34.3015,20/07/2020,2992,62,1153,1777,Africa
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,20/07/2020,13,0,13,0,Europe
Saint Pierre and Miquelon,France,46.8852,-56.3159,20/07/2020,4,0,1,3,Europe
,South Sudan,6.877,31.307,20/07/2020,2211,45,1175,991,Africa
,Western Sahara,24.2155,-12.8858,20/07/2020,10,1,8,1,Africa
,Sao Tome and Principe,0.1864,6.6131,20/07/2020,746,14,536,196,Africa
,Yemen,15.552727,48.516388,20/07/2020,1619,447,714,458,Eastern Mediterranean
,Comoros,-11.6455,43.3333,20/07/2020,334,7,313,14,Africa
,Tajikistan,38.861,71.2761,20/07/2020,6921,57,5629,1235,Europe
,Lesotho,-29.61,28.2336,20/07/2020,359,6,69,284,Africa
,Afghanistan,33.93911,67.709953,21/07/2020,35615,1186,23741,10688,Eastern Mediterranean
,Albania,41.1533,20.1683,21/07/2020,4290,117,2397,1776,Europe
,Algeria,28.0339,1.6596,21/07/2020,24278,1100,16646,6532,Africa
,Andorra,42.5063,1.5218,21/07/2020,884,52,803,29,Europe
,Angola,-11.2027,17.8739,21/07/2020,779,30,221,528,Africa
,Antigua and Barbuda,17.0608,-61.7964,21/07/2020,76,3,57,16,Americas
,Argentina,-38.4161,-63.6167,21/07/2020,136118,2490,58598,75030,Americas
,Armenia,40.0691,45.0382,21/07/2020,35254,662,24206,10386,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,21/07/2020,113,3,107,3,Western Pacific
New South Wales,Australia,-33.8688,151.2093,21/07/2020,3614,49,2988,577,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,21/07/2020,31,0,30,1,Western Pacific
Queensland,Australia,-27.4698,153.0251,21/07/2020,1073,6,1062,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,21/07/2020,444,4,440,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,21/07/2020,229,13,215,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,21/07/2020,6739,44,3078,3617,Western Pacific
Western Australia,Australia,-31.9505,115.8605,21/07/2020,651,9,625,17,Western Pacific
,Austria,47.5162,14.5501,21/07/2020,19827,710,17716,1401,Europe
,Azerbaijan,40.1431,47.5769,21/07/2020,28242,376,19939,7927,Europe
,Bahamas,25.025885,-78.035889,21/07/2020,194,11,91,92,Americas
,Bahrain,26.0275,50.55,21/07/2020,37316,129,33455,3732,Eastern Mediterranean
,Bangladesh,23.685,90.3563,21/07/2020,210510,2709,115397,92404,South-East Asia
,Barbados,13.1939,-59.5432,21/07/2020,106,7,91,8,Americas
,Belarus,53.7098,27.9534,21/07/2020,66348,507,58592,7249,Europe
,Belgium,50.8333,4.469936,21/07/2020,64258,9805,17330,37123,Europe
,Benin,9.3077,2.3158,21/07/2020,1602,31,782,789,Africa
,Bhutan,27.5142,90.4336,21/07/2020,92,0,83,9,South-East Asia
,Bolivia,-16.2902,-63.5887,21/07/2020,62357,2273,19290,40794,Americas
,Bosnia and Herzegovina,43.9159,17.6791,21/07/2020,8787,264,4003,4520,Europe
,Brazil,-14.235,-51.9253,21/07/2020,2159654,81487,1555339,522828,Americas
,Brunei,4.5353,114.7277,21/07/2020,141,3,138,0,Western Pacific
,Bulgaria,42.7339,25.4858,21/07/2020,9254,313,4521,4420,Europe
,Burkina Faso,12.2383,-1.5616,21/07/2020,1065,53,901,111,Africa
,Cabo Verde,16.5388,-23.0418,21/07/2020,2107,21,1100,986,Africa
,Cambodia,11.55,104.9167,21/07/2020,197,0,140,57,Western Pacific
,Cameroon,3.848,11.5021,21/07/2020,16522,382,13728,2412,Africa
Alberta,Canada,53.9333,-116.5765,21/07/2020,9728,172,0,9556,Americas
British Columbia,Canada,53.7267,-127.6476,21/07/2020,3328,189,0,3139,Americas
