Country/Region,Date,Confirmed,Deaths,Recovered,Active,Death Percentage
Panama,12/07/2020,45633,909,23039,21685,1.9919794885280389
Papua New Guinea,12/07/2020,11,0,8,3,0.0
Paraguay,12/07/2020,2948,22,1275,1651,0.7462686567164178
Peru,12/07/2020,326326,11870,217111,97345,3.6374668276508766
Philippines,12/07/2020,56259,1534,16046,38679,2.7266748431362093
Poland,12/07/2020,37891,1571,27148,9172,4.146103296297274
Portugal,12/07/2020,46512,1660,30907,13945,3.568971448228414
Qatar,12/07/2020,103598,147,99743,3708,0.14189463117048592
Romania,12/07/2020,32535,1884,21545,9106,5.7906869525126785
Russia,12/07/2020,726036,11318,500208,214510,1.5588758684142385
Rwanda,12/07/2020,1337,4,684,649,0.2991772625280479
Saint Lucia,12/07/2020,22,0,19,3,0.0
Saint Vincent and the Grenadines,12/07/2020,35,0,29,6,0.0
San Marino,12/07/2020,699,42,656,1,6.008583690987124
Saudi Arabia,12/07/2020,232259,2223,167138,62898,0.9571211449287218
Senegal,12/07/2020,8135,148,5446,2541,1.819299323909035
Serbia,12/07/2020,18360,393,13876,4091,2.1405228758169934
Seychelles,12/07/2020,100,0,11,89,0.0
Singapore,12/07/2020,45961,26,42285,3650,0.05656970039816366
Slovakia,12/07/2020,1901,28,1493,380,1.4729089952656496
Slovenia,12/07/2020,1841,111,1469,261,6.029331884845193
Somalia,12/07/2020,3059,93,1264,1702,3.040209218698921
South Africa,12/07/2020,276242,4079,134874,137289,1.4766038473512355
Spain,12/07/2020,253908,28403,150376,75129,11.186335208028105
Sri Lanka,12/07/2020,2617,11,1981,625,0.42032862055789066
Sudan,12/07/2020,10250,650,5341,4259,6.341463414634147
Suriname,12/07/2020,741,18,495,228,2.42914979757085
Switzerland,12/07/2020,32883,1968,29600,1315,5.984855396405438
Taiwan*,12/07/2020,451,7,438,6,1.5521064301552108
Tanzania,12/07/2020,509,21,183,305,4.12573673870334
Thailand,12/07/2020,3217,58,3088,71,1.8029219769972022
Togo,12/07/2020,720,15,513,192,2.083333333333333
Trinidad and Tobago,12/07/2020,133,8,120,5,6.015037593984962
Tunisia,12/07/2020,1263,50,1076,137,3.95882818685669
Turkey,12/07/2020,212993,5363,194515,13115,2.51792312423413
Uganda,12/07/2020,1025,0,972,53,0.0
Ukraine,12/07/2020,54647,1400,26971,26276,2.5618972679195564
United Arab Emirates,12/07/2020,54854,333,45140,9381,0.6070660298246253
United Kingdom,12/07/2020,150,9,137,4,6.0
United Kingdom,12/07/2020,201,1,197,3,0.4975124378109453
United Kingdom,12/07/2020,577,47,512,18,8.145580589254767
United Kingdom,12/07/2020,180,0,176,4,0.0
United Kingdom,12/07/2020,336,24,312,0,7.142857142857142
United Kingdom,12/07/2020,12,1,10,1,8.333333333333332
Uruguay,12/07/2020,987,31,896,60,3.1408308004052685
US,12/07/2020,3304942,135205,1006326,2163411,4.090994637727379
Uzbekistan,12/07/2020,12997,60,7852,5085,0.46164499499884587
Venezuela,12/07/2020,9465,89,2671,6705,0.9403063919704173
Vietnam,12/07/2020,372,0,350,22,0.0
Zambia,12/07/2020,1895,42,1412,441,2.216358839050132
Zimbabwe,12/07/2020,985,18,328,639,1.8274111675126905
Dominica,12/07/2020,18,0,18,0,0.0
Grenada,12/07/2020,23,0,23,0,0.0
Belize,12/07/2020,37,2,20,15,5.405405405405405
Laos,12/07/2020,19,0,19,0,0.0
Libya,12/07/2020,1433,39,341,1053,2.7215631542219123
West Bank and Gaza,12/07/2020,6230,36,942,5252,0.5778491171749599
Guinea-Bissau,12/07/2020,1842,26,773,1043,1.4115092290988056
Mali,12/07/2020,2411,121,1694,596,5.018664454583161
Saint Kitts and Nevis,12/07/2020,17,0,15,2,0.0
Kosovo,12/07/2020,4931,102,2267,2562,2.0685459338876497
Burma,12/07/2020,331,6,261,64,1.812688821752266
