names,year,Certificate,Runtime,Genre,Rating,Overview,Director,Budget,Revenue
The Shawshank Redemption,1994,A,142,Drama,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,27247177,39508284
The Godfather,1972,A,175,"Crime, Drama",9.2,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,87709086,82013889
The Dark Knight,2008,UA,152,"Action, Crime, Drama",9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,72433597,78665520
The Godfather: Part II,1974,A,202,"Crime, Drama",9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,79439758,34078481
12 Angry Men,1957,U,96,"Crime, Drama",9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet,16906366,13097124
The Lord of the Rings: The Return of the King,2003,U,201,"Action, Adventure, Drama",8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,46473930,24739735
Pulp Fiction,1994,A,154,"Crime, Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,81837939,50793212
Schindler's List,1993,A,195,"Biography, Drama, History",8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,57149406,65552214
Inception,2010,UA,148,"Action, Adventure, Sci-Fi",8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the d of a C.E.O.,Christopher Nolan,16376142,44934317
Fight Club,1999,A,139,Drama,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,31238441,75388051
The Lord of the Rings: The Fellowship of the Ring,2001,U,178,"Action, Adventure, Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,34220822,19962352
Forrest Gump,1994,UA,142,"Drama, Romance",8.8,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,78052599,54421877
"Il buono, il brutto, il cattivo",1966,A,161,Western,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,35315475,33150490
The Lord of the Rings: The Two Towers,2002,UA,179,"Action, Adventure, Drama",8.7,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,51192636,15859886
The Matrix,1999,A,136,"Action, Sci-Fi",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski,15714299,71460876
Goodfellas,1990,A,146,"Biography, Crime, Drama",8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,21654603,38967252
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,"Action, Adventure, Fantasy",8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,73692247,46044559
One Flew Over the Cuckoo's Nest,1975,A,133,Drama,8.7,"A crial pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,96668581,24258593
Hamilton,2020,PG-13,160,"Biography, Drama, History",8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,74393403,53571538
Gisaengchung,2019,A,132,"Comedy, Drama, Thriller",8.6,Greed and class discriation threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,55070345,60436805
Soorarai Pottru,2020,U,153,Drama,8.6,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,80304775,13661070
Interstellar,2014,UA,169,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,51822997,79148282
Cidade de Deus,2002,A,130,"Crime, Drama",8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Fernando Meirelles,46061023,31288956
Sen to Chihiro no kamikakushi,2001,U,125,"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,20617792,55225042
Saving Private Ryan,1998,R,169,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,92766948,21457002
The Green Mile,1999,A,189,"Crime, Drama, Fantasy",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,89270196,46217191
La vita è bella,1997,U,116,"Comedy, Drama, Romance",8.6,"When an open-ded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,93411022,19553846
Se7en,1995,A,127,"Crime, Drama, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,26381873,94007822
The Silence of the Lambs,1991,A,118,"Crime, Drama, Thriller",8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,70281134,92405409
Star Wars,1977,UA,121,"Action, Adventure, Fantasy",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,62446787,83890636
Seppuku,1962,,133,"Action, Drama, Mystery",8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,61146590,47960811
Shichinin no samurai,1954,U,207,"Action, Adventure, Drama",8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,75206300,61282578
It's a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy",8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,47400734,69529888
Joker,2019,A,122,"Crime, Drama, Thriller",8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,82932208,54354960
Whiplash,2014,A,106,"Drama, Music",8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,43185204,30843144
The Intouchables,2011,UA,112,"Biography, Comedy, Drama",8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,31615235,28673047
The Prestige,2006,U,130,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,21486980,12632626
The Departed,2006,A,151,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,85229780,98973799
The Pianist,2002,R,150,"Biography, Drama, Music",8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,92110588,46043778
Gladiator,2000,UA,155,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,14694509,60160292
American History X,1998,R,119,Drama,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,40733274,20825068
The Usual Suspects,1995,A,106,"Crime, Mystery, Thriller",8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five crials met at a seegly random police lineup.",Bryan Singer,33982458,24742607
Léon,1994,A,110,"Action, Crime, Drama",8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,16030071,70852230
The Lion King,1994,U,88,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,77039375,41249632
Terator 2: Judgment Day,1991,U,137,"Action, Sci-Fi",8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,35343184,40609801
Nuovo Cinema Paradiso,1988,U,155,"Drama, Romance",8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,17136893,78193612
Hotaru no haka,1988,U,89,"Animation, Drama, War",8.5,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,87432756,66440794
Back to the Future,1985,U,116,"Adventure, Comedy, Sci-Fi",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,16340517,36000897
Once Upon a Time in the West,1968,U,165,Western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,22642268,77157274
Psycho,1960,A,109,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the doation of his mother.",Alfred Hitchcock,15645344,55926596
